#Mod_Priority,#Mod_Name,#Primary_Category,#Mod_Nexus_URL,#Mod_Version
1,DLC: TribalPack,,,
2,DLC: OldWorldBlues,,,
3,DLC: MercenaryPack,,,
4,DLC: LonesomeRoad,,,
5,DLC: HonestHearts,,,
6,DLC: GunRunnersArsenal,,,
7,DLC: DeadMoney,,,
8,DLC: ClassicPack,,,
9,DLC: CaravanPack,,,
10,lStewieAl's Tweaks and Engine Fixes,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/66347,9.65.0.0
11,FNV Mod Limit Fix,Bug Fixes,https://www.nexusmods.com/newvegas/mods/68714,3.1.0.0
12,OneTweak but Really Updated,Utilities,https://www.nexusmods.com/newvegas/mods/79211,2.1.0.4
13,lStewieAl's Engine Optimizations,Performance,https://www.nexusmods.com/newvegas/mods/80993,1.0.0.0
14,Faster Sleep-Wait,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/66785,2.0.0.0
15,JohnnyGuitar NVSE,Miscellaneous,https://www.nexusmods.com/newvegas/mods/66927,5.16.0.0
16,kNVSE Animation Plugin,Miscellaneous,https://www.nexusmods.com/newvegas/mods/71336,37.0.0.0
17,JIP LN NVSE Plugin,Utilities,https://www.nexusmods.com/newvegas/mods/58277,57.30.0.0
18,AnhNVSE,Miscellaneous,https://www.nexusmods.com/newvegas/mods/74012,1.3.1.0
19,Yukichigai Unofficial Patch - YUP - ES - Modificado,Player Homes,https://www.nexusmods.com/newvegas/mods/51664,12.3.0.0
20,New Vegas Mesh Improvement Mod - NVMIM,Bug Fixes,https://www.nexusmods.com/newvegas/mods/74295,1.12.8.0hf3
21,Unofficial Patch NVSE Plus,Bug Fixes,https://www.nexusmods.com/newvegas/mods/71239,1.6.0.0
22,ISControl Enabler and Ironsights adjuster (now ESPless),Animation,https://www.nexusmods.com/newvegas/mods/75417,2.3.0.0
23,yGTM - Gameplay Tweaks and Madness,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/72784,2.1.0.0a
24,NVTF - New Vegas Tick Fix,Miscellaneous,https://www.nexusmods.com/newvegas/mods/66537,10.5.0.0a
25,NVTF - INI Presets,Utilities,https://www.nexusmods.com/newvegas/mods/81231,1.2.0.0
26,ShowOff xNVSE Plugin,Utilities,https://www.nexusmods.com/newvegas/mods/72541,1.80.0.0
27,Shader Loader - NVSE,Utilities,https://www.nexusmods.com/newvegas/mods/87814,1.32.0.0
28,KEYWORDS,General,https://www.nexusmods.com/newvegas/mods/83088,f1.01
29,Vanilla Animations Weapon Scale Fix,Animation,https://www.nexusmods.com/newvegas/mods/83245,1.0.0.0
30,Console Paste Support,Utilities,https://www.nexusmods.com/newvegas/mods/65906,2.3.0.0
31,Improved Console (NVSE),Utilities,https://www.nexusmods.com/newvegas/mods/70801,3.0.0.0
32,Depth of Field Fix - NVSE,Bug Fixes,https://www.nexusmods.com/newvegas/mods/81200,1.1.0.0a
33,Traduccion_Mejorada_DLAN_DLC,Miscellaneous,https://www.nexusmods.com/newvegas/mods/41195,f0.03
34,No Main Story Line Ultimatums,Quests and Adventures,https://www.nexusmods.com/newvegas/mods/40478,d2024.10.28.0
35,Oscar not hostile,Bug Fixes,https://www.nexusmods.com/newvegas/mods/60716,1.0.0.0
36,Primm Reputation Restored,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/48918,1.1.0.0
37,Immersive Hit Reactions - Makes Combat Responsive,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/66646,2.2.0.0
38,Followers-NCR Alliance Fix,Bug Fixes,https://www.nexusmods.com/newvegas/mods/37311,1.0.0.0
39,Real Recoil,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/62153,1.2.1.0
40,Real Recoil Re-Re-Calculated - With Recoil Cap,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/86406,1.0.0.0
41,PipBoyOn Node Fixes,Bug Fixes,https://www.nexusmods.com/newvegas/mods/81775,2.0.0.0
42,Misc Audio Tweaks and Fixes,Sounds and Music,https://www.nexusmods.com/newvegas/mods/77073,1.0.0.0
43,ActorCause Save Bloat Fix,Performance,https://www.nexusmods.com/newvegas/mods/80666,1.0.0.0
44,Aqua Performa - Strip Performance Fix,Performance,https://www.nexusmods.com/newvegas/mods/78617,2.0.0.0
45,Smooth True Iron Sights Camera,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/69074,2.0.0.0
46,Viewmodel Shake Fix - NVSE,Bug Fixes,https://www.nexusmods.com/newvegas/mods/84443,1.2.0.0
47,Iron Sights Aligned,Weapons,https://www.nexusmods.com/newvegas/mods/81933,5.2.0.0
48,Weapon Based Hands Clip Distance,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/82093,2.5.0.0
49,The Mod Configuration Menu,,https://www.nexusmods.com/newvegas/mods/42507,1.5.1.0
50,UIO - User Interface Organizer,User Interfaces,https://www.nexusmods.com/newvegas/mods/57174,2.30.0.0
51,MAPMO - Main and Pause Menus Overhaul,User Interfaces,https://www.nexusmods.com/newvegas/mods/74365,Extras
52,JIP Improved Recipe Menu ESPless,User Interfaces,https://www.nexusmods.com/newvegas/mods/75920,1.20.0.0
53,Fog-based Object Culling,Performance,https://www.nexusmods.com/newvegas/mods/79516,2.0.0.0
54,ExRB - Extended Roombounds,Performance,https://www.nexusmods.com/newvegas/mods/71501,2.2.0.0
55,Hit - VATS Restored,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/87106,1.0.0.0
56,Faster Start Menu (Skip Splash Screens),User Interfaces,https://www.nexusmods.com/newvegas/mods/62232,1.0.0.0
57,M.U.X. Series - OX Toolkit,Utilities,https://www.nexusmods.com/newvegas/mods/83277,1.1.0.0
58,Gas Trap Performance Fix,Bug Fixes,https://www.nexusmods.com/newvegas/mods/88587,1.3.0.0
59,Yvile's Crash Logger,Bug Fixes,https://www.nexusmods.com/newvegas/mods/82540,5.12.0.0
60,New T-51b Icons New Vegas,Models and Textures,https://www.nexusmods.com/newvegas/mods/59065,1.0.0.0
61,Vanilla UI Plus (New Vegas),,,9.48.0.0
62,Unified HUD Project - uHUD,User Interfaces,https://www.nexusmods.com/newvegas/mods/38961,3.7.0.0
63,JAM - Just Assorted Mods,Gameplay Effects and Changes,https://www.nexusmods.com/newvegas/mods/66666,4.6.0.0
